fov;colorfactor 0;colorfactor 0.5;colorfactor 1
1;100,0;100,0;100,0
2;92,86074074074074;48,7125925925926;42,26296296296296
3;92,86074074074074;48,7125925925926;42,26296296296296
4;92,85518518518518;48,7125925925926;42,26296296296296
5;92,85;48,71222222222222;42,26296296296296
6;92,82888888888888;48,69777777777777;42,254074074074076
7;92,7611111111111;48,64555555555555;42,208518518518524
8;92,61592592592592;48,544444444444444;42,08777777777778
9;92,36481481481482;48,31962962962963;41,80777777777778
10;91,95407407407407;47,858148148148146;41,16851851851852
11;91,3537037037037;46,898518518518514;40,11740740740741
12;90,65481481481481;45,67296296296296;38,666296296296295
13;90,0262962962963;44,487037037037034;37,268518518518526
14;89,51074074074074;43,53888888888889;36,09259259259259
15;89,07481481481481;42,754074074074076;35,092592592592595
16;88,68703703703704;42,092592592592595;34,22074074074074
17;88,37925925925926;41,55074074074074;33,51703703703703
18;88,12629629629629;41,10074074074074;32,95481481481481
19;87,89370370370371;40,696296296296296;32,45370370370371
20;87,71592592592593;40,333703703703705;31,992962962962963
21;87,56333333333333;40,04666666666667;31,56481481481481
22;87,42851851851852;39,79037037037037;31,18592592592593
23;87,3174074074074;39,56444444444445;30,84148148148148
24;87,22703703703704;39,346666666666664;30,580370370370375
25;87,14296296296297;39,14259259259259;30,385555555555555
26;87,08111111111111;38,970000000000006;30,238518518518518
27;87,02592592592592;38,83185185185185;30,124074074074073
28;86,98185185185186;38,71222222222222;30,042592592592584
29;86,9537037037037;38,62740740740741;29,9625925925926
30;86,9274074074074;38,55777777777778;29,91333333333334
31;86,90814814814814;38,49370370370371;29,870370370370367
32;86,89555555555556;38,44814814814816;29,81148148148148
33;86,88333333333334;38,413333333333334;29,78074074074074
34;86,89185185185185;38,38777777777778;29,754444444444445
35;86,9037037037037;38,370000000000005;29,739999999999995
36;86,92444444444445;38,36037037037037;29,738518518518518
37;86,94666666666667;38,35777777777778;29,741481481481486
38;86,97148148148148;38,36518518518518;29,754444444444445
39;86,99407407407408;38,38481481481482;29,760370370370367
40;87,0237037037037;38,40148148148148;29,776296296296294
41;87,04962962962964;38,42481481481481;29,79925925925926
42;87,0911111111111;38,45740740740741;29,81962962962963
43;87,12629629629629;38,49370370370371;29,845185185185187
44;87,17222222222222;38,53703703703704;29,87703703703704
45;87,21851851851852;38,58296296296297;29,914074074074065
46;87,26222222222222;38,62740740740741;29,9625925925926
47;87,3062962962963;38,68555555555555;30,00481481481482
48;87,36259259259259;38,742592592592594;30,054444444444442
49;87,4162962962963;38,80111111111111;30,111111111111114
50;87,47777777777777;38,84925925925926;30,16814814814815
51;87,54222222222222;38,91;30,220740740740737
52;87,60555555555555;38,968888888888884;30,28074074074074
53;87,66703703703703;39,022222222222226;30,345185185185187
54;87,73481481481481;39,09518518518519;30,399259259259253
55;87,81037037037036;39,15925925925926;30,46333333333334
56;87,89;39,2337037037037;30,53333333333333
57;87,96444444444444;39,30481481481481;30,59703703703704
58;88,0325925925926;39,381851851851856;30,677407407407415
59;88,10481481481482;39,458148148148155;30,746296296296293
60;88,17962962962963;39,538518518518515;30,82296296296296
61;88,25296296296297;39,61333333333334;30,909629629629634
62;88,32481481481481;39,69222222222222;31,00074074074074
63;88,39703703703704;39,77481481481482;31,082962962962966
64;88,47296296296297;39,85444444444445;31,169259259259263
65;88,54555555555555;39,93962962962962;31,260740740740744
66;88,62444444444445;40,02407407407408;31,351851851851848
67;88,69851851851851;40,10296296296296;31,44185185185185
68;88,77666666666667;40,181851851851846;31,53074074074074
69;88,84925925925926;40,26518518518518;31,621851851851858
70;88,92185185185186;40,355555555555554;31,71518518518519
71;88,99592592592593;40,44962962962963;31,80851851851851
72;89,06296296296296;40,53592592592593;31,911481481481488
73;89,13740740740741;40,61555555555556;32,005185185185184
74;89,2088888888889;40,71703703703704;32,10111111111111
75;89,28148148148148;40,79555555555555;32,202592592592595
76;89,34814814814814;40,89037037037036;32,30888888888889
77;89,40777777777778;40,9762962962963;32,41259259259259
78;89,48;41,07037037037037;32,50740740740741
79;89,54814814814814;41,16185185185185;32,606666666666655
80;89,61888888888889;41,25370370370371;32,70962962962963
81;89,69;41,36296296296297;32,80592592592593
82;89,75111111111111;41,44888888888889;32,90555555555555
83;89,82592592592593;41,54518518518518;33,01333333333332
84;89,90185185185186;41,635185185185186;33,11555555555556
85;89,98962962962963;41,72925925925925;33,22888888888889
86;90,06518518518519;41,82222222222223;33,34407407407407
87;90,13481481481482;41,91111111111111;33,4562962962963
88;90,20925925925926;42,0062962962963;33,57444444444444
89;90,2862962962963;42,1;33,68666666666667
