fov;colorfactor 0;colorfactor 0.5;colorfactor 1
1;100,0;100,0;100,0
2;77,11444444444444;11,43925925925926;8,219999999999999
3;77,11444444444444;11,43925925925926;8,219999999999999
4;77,10703703703703;11,43925925925926;8,219999999999999
5;77,08888888888889;11,438148148148159;8,219999999999999
6;77,01296296296296;11,430740740740745;8,214444444444453
7;76,70925925925926;11,404074074074074;8,192962962962952
8;76,03296296296296;11,3237037037037;8,135555555555555
9;74,76703703703704;11,158148148148143;8,01555555555555
10;72,5837037037037;10,844074074074072;7,786666666666662
11;69,4874074074074;10,365185185185183;7,438518518518521
12;65,83814814814815;9,815555555555562;7,040370370370368
13;62,55111111111111;9,34555555555555;6,702592592592595
14;59,98481481481481;9,013333333333335;6,456296296296287
15;57,995555555555555;8,791851851851845;6,267407407407404
16;56,302592592592596;8,59703703703704;6,1214814814814815
17;54,934074074074076;8,452962962962957;6,020370370370358
18;53,860740740740745;8,340000000000003;5,941481481481475
19;53,04555555555556;8,251111111111115;5,864074074074082
20;52,42407407407407;8,168888888888887;5,802222222222213
21;51,885555555555555;8,108888888888885;5,763333333333335
22;51,36222222222222;8,049259259259259;5,714074074074077
23;50,89296296296296;7,998518518518523;5,674444444444447
24;50,44037037037037;7,964074074074077;5,643333333333331
25;50,047407407407405;7,927037037037039;5,619629629629628
26;49,7037037037037;7,896296296296299;5,602222222222224
27;49,425185185185185;7,868518518518513;5,583333333333329
28;49,21333333333333;7,849629629629632;5,567037037037039
29;49,03259259259259;7,832222222222214;5,552962962962965
30;48,885185185185186;7,8237037037037;5,54296296296296
31;48,75703703703703;7,810740740740741;5,532962962962955
32;48,67444444444444;7,808518518518511;5,522962962962964
33;48,59185185185185;7,799259259259259;5,518518518518519
34;48,53777777777778;7,798148148148144;5,512962962962959
35;48,51222222222222;7,799629629629635;5,515925925925927
36;48,49296296296296;7,796296296296305;5,517407407407404
37;48,48777777777777;7,8018518518518505;5,518888888888881
38;48,49148148148148;7,808888888888887;5,522962962962964
39;48,522592592592595;7,809259259259264;5,53074074074074
40;48,56296296296296;7,815925925925924;5,538888888888891
41;48,60407407407408;7,823333333333338;5,542592592592584
42;48,66407407407407;7,82925925925926;5,552222222222227
43;48,73555555555556;7,84037037037038;5,564074074074071
44;48,80888888888889;7,848518518518517;5,577777777777783
45;48,89;7,857407407407408;5,5903703703703655
46;48,989259259259256;7,870370370370367;5,6014814814814855
47;49,095555555555556;7,881851851851849;5,614074074074068
48;49,20814814814815;7,893333333333331;5,62222222222222
49;49,34962962962963;7,907037037037028;5,633703703703702
50;49,474444444444444;7,924444444444447;5,646666666666661
51;49,605185185185185;7,937407407407406;5,658888888888896
52;49,73888888888889;7,952962962962957;5,6740740740740705
53;49,87518518518519;7,971481481481476;5,681851851851846
54;50,03296296296296;7,992222222222225;5,693703703703704
55;50,187407407407406;8,007777777777775;5,708518518518531
56;50,345925925925926;8,022962962962964;5,721851851851852
57;50,51555555555556;8,037777777777777;5,738518518518518
58;50,6637037037037;8,05518518518518;5,754074074074083
59;50,84111111111111;8,0737037037037;5,769999999999996
60;51,02481481481482;8,094444444444449;5,786666666666662
61;51,2037037037037;8,114444444444445;5,799629629629635
62;51,386296296296294;8,129259259259257;5,819629629629631
63;51,58;8,15518518518519;5,836296296296297
64;51,77074074074074;8,174814814814809;5,853333333333339
65;51,96740740740741;8,194814814814805;5,8700000000000045
66;52,16222222222222;8,218518518518508;5,888148148148147
67;52,35925925925926;8,240370370370371;5,908888888888882
68;52,580370370370375;8,26222222222222;5,9296296296296305
69;52,775925925925925;8,287777777777777;5,9496296296296265
70;52,97518518518519;8,31703703703704;5,967037037037031
71;53,18925925925926;8,337777777777774;5,986666666666665
72;53,412962962962965;8,359629629629623;6,0033333333333445
73;53,63777777777778;8,383333333333326;6,0262962962962945
74;53,860740740740745;8,407407407407405;6,0477777777777675
75;54,09074074074074;8,428888888888892;6,0718518518518465
76;54,32555555555555;8,458888888888893;6,0944444444444485
77;54,54;8,486666666666665;6,110740740740738
78;54,77481481481482;8,51222222222222;6,13111111111111
79;55,005185185185184;8,54185185185186;6,150370370370368
80;55,24740740740741;8,5662962962963;6,171481481481479
81;55,491851851851855;8,59703703703704;6,192222222222227
82;55,73481481481481;8,630740740740734;6,21037037037037
83;55,97259259259259;8,65851851851852;6,234814814814811
84;56,22333333333333;8,685555555555553;6,25888888888889
85;56,455925925925925;8,717407407407407;6,285555555555561
86;56,70481481481481;8,749259259259262;6,305185185185181
87;56,929259259259254;8,778888888888886;6,326296296296292
88;57,163333333333334;8,808148148148149;6,345185185185187
89;57,42148148148148;8,83481481481482;6,36333333333333
